name,country,region
A/Great_Horned_Owl/Florida/USDA-007915-007/2022|2.3.4.4b|2022-02-24,USA,North America
A/Great_Horned_Owl/Florida/USDA-007915-008/2022|2.3.4.4b|2022-02-25,USA,North America
A/Green-winged_Teal/North_Carolina/USDA-001673-001/2022|2.3.4.4b|2022-01-08,USA,North America
A/Green-winged_Teal/North_Carolina/USDA-003444-004/2022|2.3.4.4b|2022-01-29,USA,North America
A/Green-winged_Teal/North_Carolina/USDA-003827-001/2022|2.3.4.4b|2022-01-29,USA,North America
A/Green-winged_Teal/North_Carolina/USDA-003830-003/2022|2.3.4.4b|2022-01-29,USA,North America
A/Green-winged_Teal/North_Carolina/USDA-003830-004/2022|2.3.4.4b|2022-01-29,USA,North America
A/Green-winged_Teal/North_Carolina/USDA-003830-009/2022|2.3.4.4b|2022-01-29,USA,North America
A/Green-winged_Teal/North_Carolina/USDA-004007-005/2022|2.3.4.4b|2022-01-31,USA,North America
A/Green-winged_Teal/North_Carolina/USDA-004372-001/2022|2.3.4.4b|2022-02-05,USA,North America
A/Green-winged_Teal/Virginia/USDA-002768-003/2022|2.3.4.4b|2022-01-19,USA,North America
A/Gull/Florida/USDA-007915-006/2022|2.3.4.4b|2022-03-01,USA,North America
A/Herring_Gull/NL/FAV-0078-1/2022|2.3.4.4b|2022-01-14,Canada,North America
A/Herring_Gull/NL/FAV-0091-01/2022|2.3.4.4b|2022-01-31,Canada,North America
A/Herring_Gull/NL/FAV-0093-1/2022|2.3.4.4b|2022-01-31,Canada,North America
A/Herring_Gull/NL/FAV-0114-2/2022|2.3.4.4b|2022-02-23,Canada,North America
A/Herring_Gull/NS/FAV-0111-1/2022|2.3.4.4b|2022-02-12,Canada,North America
A/Herring_Gull/Ohio/USDA-007187-001/2022|2.3.4.4b|2022-02-25,USA,North America
A/Hooded_Merganser/Florida/USDA-007915-003/2022|2.3.4.4b|2022-03-01,USA,North America
A/Hooded_Merganser/Missouri/USDA-007184-001/2022|2.3.4.4b|2022-02-28,USA,North America
A/Lesser_Scaup/Florida/USDA-004623-002/2022|2.3.4.4b|2022-02-08,USA,North America
